run_id,seed,method,logical_time_s,phase,application_demand_mbps,actual_throughput_mbps,network_capacity_mbps,physical_capacity_mbps,latency_ms,qos_satisfied,failure_detected,action_selected,activated,recovered
compound:seed=4:method=proposed,4,proposed,8.2,RECOVERY_DECISION,13.4375,4.3,8.734375,4.3,37.412499999999994,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=4:method=proposed,4,proposed,8.4,ACTIVATION_RESULT,10.75,10.75,14.781250000000002,10.75,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,False
compound:seed=4:method=proposed,4,proposed,8.6,STABLE_HEALTH_WINDOW,10.75,10.75,14.781250000000002,10.75,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,True
compound:seed=4:method=full_rebuild,4,full_rebuild,0.0,STABLE,10.75,10.75,24.1875,24.1875,10.0,True,False,,False,False
compound:seed=4:method=full_rebuild,4,full_rebuild,2.0,DEMAND_INCREASE,13.4375,13.4375,24.1875,24.1875,10.0,True,False,,False,False
compound:seed=4:method=full_rebuild,4,full_rebuild,4.0,NETWORK_UTILIZATION_RISE,13.4375,13.4375,14.781250000000002,24.1875,10.0,True,False,,False,False
compound:seed=4:method=full_rebuild,4,full_rebuild,6.0,PHYSICAL_CAPACITY_DROP,13.4375,4.3,14.781250000000002,4.3,37.412499999999994,False,False,,False,False
compound:seed=4:method=full_rebuild,4,full_rebuild,8.0,ROUTE_DEGRADED,13.4375,4.3,8.734375,4.3,37.412499999999994,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=4:method=full_rebuild,4,full_rebuild,8.2,RECOVERY_DECISION,13.4375,4.3,8.734375,4.3,37.412499999999994,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=4:method=full_rebuild,4,full_rebuild,8.4,ACTIVATION_RESULT,10.75,10.75,14.781250000000002,10.75,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,False
compound:seed=4:method=full_rebuild,4,full_rebuild,8.6,STABLE_HEALTH_WINDOW,10.75,10.75,14.781250000000002,10.75,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,True
compound:seed=4:method=network_only,4,network_only,0.0,STABLE,10.75,10.75,24.1875,24.1875,10.0,True,False,,False,False
compound:seed=4:method=network_only,4,network_only,2.0,DEMAND_INCREASE,13.4375,13.4375,24.1875,24.1875,10.0,True,False,,False,False
compound:seed=4:method=network_only,4,network_only,4.0,NETWORK_UTILIZATION_RISE,13.4375,13.4375,14.781250000000002,24.1875,10.0,True,False,,False,False
compound:seed=4:method=network_only,4,network_only,6.0,PHYSICAL_CAPACITY_DROP,13.4375,4.3,14.781250000000002,4.3,37.412499999999994,False,False,,False,False
compound:seed=4:method=network_only,4,network_only,8.0,ROUTE_DEGRADED,13.4375,4.3,8.734375,4.3,37.412499999999994,False,True,KEEP_ROUTE,False,False
compound:seed=4:method=network_only,4,network_only,8.2,RECOVERY_DECISION,13.4375,4.3,8.734375,4.3,37.412499999999994,False,True,KEEP_ROUTE,False,False
compound:seed=4:method=network_only,4,network_only,8.4,ACTIVATION_RESULT,10.75,0.0,14.781250000000002,4.3,42.25,False,True,KEEP_ROUTE,False,False
compound:seed=4:method=network_only,4,network_only,8.6,STABLE_HEALTH_WINDOW,10.75,0.0,14.781250000000002,4.3,42.25,False,True,KEEP_ROUTE,False,False
compound:seed=5:method=proposed,5,proposed,0.0,STABLE,11.25,11.25,25.3125,25.3125,10.0,True,False,,False,False
compound:seed=5:method=proposed,5,proposed,2.0,DEMAND_INCREASE,14.0625,14.0625,25.3125,25.3125,10.0,True,False,,False,False
compound:seed=5:method=proposed,5,proposed,4.0,NETWORK_UTILIZATION_RISE,14.0625,14.0625,15.468750000000002,25.3125,10.0,True,False,,False,False
compound:seed=5:method=proposed,5,proposed,6.0,PHYSICAL_CAPACITY_DROP,14.0625,4.5,15.468750000000002,4.5,38.6875,False,False,,False,False
compound:seed=5:method=proposed,5,proposed,8.0,ROUTE_DEGRADED,14.0625,4.5,9.140625,4.5,38.6875,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=5:method=proposed,5,proposed,8.2,RECOVERY_DECISION,14.0625,4.5,9.140625,4.5,38.6875,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=5:method=proposed,5,proposed,8.4,ACTIVATION_RESULT,11.25,11.25,15.468750000000002,11.25,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,False
compound:seed=5:method=proposed,5,proposed,8.6,STABLE_HEALTH_WINDOW,11.25,11.25,15.468750000000002,11.25,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,True
compound:seed=5:method=full_rebuild,5,full_rebuild,0.0,STABLE,11.25,11.25,25.3125,25.3125,10.0,True,False,,False,False
compound:seed=5:method=full_rebuild,5,full_rebuild,2.0,DEMAND_INCREASE,14.0625,14.0625,25.3125,25.3125,10.0,True,False,,False,False
compound:seed=5:method=full_rebuild,5,full_rebuild,4.0,NETWORK_UTILIZATION_RISE,14.0625,14.0625,15.468750000000002,25.3125,10.0,True,False,,False,False
compound:seed=5:method=full_rebuild,5,full_rebuild,6.0,PHYSICAL_CAPACITY_DROP,14.0625,4.5,15.468750000000002,4.5,38.6875,False,False,,False,False
compound:seed=5:method=full_rebuild,5,full_rebuild,8.0,ROUTE_DEGRADED,14.0625,4.5,9.140625,4.5,38.6875,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=5:method=full_rebuild,5,full_rebuild,8.2,RECOVERY_DECISION,14.0625,4.5,9.140625,4.5,38.6875,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=5:method=full_rebuild,5,full_rebuild,8.4,ACTIVATION_RESULT,11.25,11.25,15.468750000000002,11.25,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,False
compound:seed=5:method=full_rebuild,5,full_rebuild,8.6,STABLE_HEALTH_WINDOW,11.25,11.25,15.468750000000002,11.25,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,True
compound:seed=5:method=network_only,5,network_only,0.0,STABLE,11.25,11.25,25.3125,25.3125,10.0,True,False,,False,False
