method,scenario,conflict_pressure,seed,ground_truth_conflict,ground_truth_resolvable,conflict_class,selected_proposals,selected_action_set,qos_satisfied,infeasible_configuration,conflict_detected,conflict_resolved,safe_rejection,rollback_triggered,coordination_latency_ms,transaction_latency_ms
no_verification,transport_network,0.95,21,True,True,RESOLVABLE_CONFLICT,exp3-seed-0021:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0021:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0021:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0021:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;KEEP_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.5532577633857727,16.55588671565056
proposed,transport_network,0.95,22,True,True,RESOLVABLE_CONFLICT,exp3-seed-0022:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0022:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0022:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0022:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,4.858914762735367,11.757224798202515
independent,transport_network,0.95,22,True,True,RESOLVABLE_CONFLICT,exp3-seed-0022:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0022:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0022:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0022:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.03449246287345886,15.37255197763443
adjacent,transport_network,0.95,22,True,True,RESOLVABLE_CONFLICT,exp3-seed-0022:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0022:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0022:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0022:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,0.6814822554588318,12.05449178814888
no_verification,transport_network,0.95,22,True,True,RESOLVABLE_CONFLICT,exp3-seed-0022:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0022:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0022:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0022:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;KEEP_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.5485750734806061,15.3995081782341
proposed,transport_network,0.95,23,True,True,RESOLVABLE_CONFLICT,exp3-seed-0023:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0023:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0023:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0023:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,4.8301368951797485,12.135468423366547
independent,transport_network,0.95,23,True,True,RESOLVABLE_CONFLICT,exp3-seed-0023:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0023:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0023:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0023:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.03583729267120361,15.815310180187225
adjacent,transport_network,0.95,23,True,True,RESOLVABLE_CONFLICT,exp3-seed-0023:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0023:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0023:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0023:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,0.6870254874229431,12.27690652012825
no_verification,transport_network,0.95,23,True,True,RESOLVABLE_CONFLICT,exp3-seed-0023:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0023:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0023:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0023:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;KEEP_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.5531869828701019,15.869837254285812
proposed,transport_network,0.95,24,True,True,RESOLVABLE_CONFLICT,exp3-seed-0024:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0024:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0024:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0024:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,4.871875047683716,11.279553174972534
independent,transport_network,0.95,24,True,True,RESOLVABLE_CONFLICT,exp3-seed-0024:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0024:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0024:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0024:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.03429874777793884,14.71436396241188
adjacent,transport_network,0.95,24,True,True,RESOLVABLE_CONFLICT,exp3-seed-0024:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0024:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0024:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0024:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,0.6833598017692566,11.360704898834229
no_verification,transport_network,0.95,24,True,True,RESOLVABLE_CONFLICT,exp3-seed-0024:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0024:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0024:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0024:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;KEEP_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.5529075860977173,14.76418599486351
proposed,transport_network,0.95,25,True,True,RESOLVABLE_CONFLICT,exp3-seed-0025:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0025:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0025:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0025:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,4.853211343288422,11.055439710617065
independent,transport_network,0.95,25,True,True,RESOLVABLE_CONFLICT,exp3-seed-0025:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0025:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0025:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0025:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.034593045711517334,14.431707561016083
adjacent,transport_network,0.95,25,True,True,RESOLVABLE_CONFLICT,exp3-seed-0025:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0025:edge-0000:network:02:SWITCH_ROUTE;exp3-seed-0025:edge-0000:physical:01:ALLOCATE_RESOURCE;exp3-seed-0025:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;SWITCH_ROUTE;ALLOCATE_RESOURCE;INCREASE_SEND_RATE,True,False,True,True,False,False,0.6783865392208099,11.279430240392685
no_verification,transport_network,0.95,25,True,True,RESOLVABLE_CONFLICT,exp3-seed-0025:edge-0000:application:01:INCREASE_APPLICATION_RATE;exp3-seed-0025:edge-0000:network:01:RESERVE_BANDWIDTH;exp3-seed-0025:edge-0000:physical:00:KEEP_RESOURCE;exp3-seed-0025:edge-0000:transport:01:INCREASE_SEND_RATE,INCREASE_APPLICATION_RATE;RESERVE_BANDWIDTH;KEEP_RESOURCE;INCREASE_SEND_RATE,False,True,False,False,False,True,0.5594976246356964,14.422081410884857
