run_id,seed,method,scenario,scenario_fingerprint,result_mode,num_agents_before,num_agents_after,num_edges_before,num_edges_after,num_gateways,cross_gateway_edge_ratio,agent_removal_ratio,removed_agent_type,removed_agent_ids,old_version,new_version,success,failure_reason,elastic_latency_ms,failure_handling_ms,scope_latency_ms,plan_latency_ms,compile_delta_latency_ms,stage_latency_ms,verification_latency_ms,activation_latency_ms,rollback_latency_ms,affected_agents,affected_edges,affected_sessions,affected_routes,affected_gateways,affected_physical_resources,physical_bindings_before,physical_bindings_after,released_physical_resources,residual_physical_resources,total_rules_before,total_rules_after,added_rules,updated_rules,deleted_rules,changed_rules_ratio,residual_rules,control_messages,control_bytes,unaffected_edges_total,unaffected_edges_interrupted,unaffected_interrupted_rate,unaffected_interruption_ms,unaffected_latency_change_ms,unaffected_packet_loss_change,rollback_triggered,rollback_success,controller_cpu_percent,controller_memory_mb,event_occurred_at,event_received_at,scope_finished_at,plan_finished_at,stage_finished_at,verification_finished_at,activation_finished_at,stable_verification_finished_at,rollback_finished_at
gateway_count:4:seed=28:method=local_only,28,local_only,gateway_count:4,47b2cae669c663a9acb7933c92ed7d06c8f4155d4cd32bc733a0d1d4ace882c8,in_memory_transactional_simulation,20,20,30,30,4,0.5,0.1,leaf,agent-019;agent-013,1,2,False,staged verification failed: version_mismatch:gw-01:1!=2,0.0,21.482311189174652,0.09632483124732971,8.456341922283173,8.351698517799377,8.744597434997559,2.1336376667022705,0.0,0.6364099681377411,11,5,5,5,3,8,45,45,0,0,56,56,0,0,8,0.14285714285714285,0,24,41364,25,0,0.0,0.0,0.0,0.0,True,True,99.98942587972192,163.41796875,21177888.247374482,21177888.247381274,21177888.247499328,21177888.255851027,21177888.26540832,21177888.26786848,0.0,0.0,21177888.268856794
gateway_count:4:seed=29:method=proposed,29,proposed,gateway_count:4,45525b587f9a2237d28b274e01b5217a36e9eea23915f16b87608367807d5659,in_memory_transactional_simulation,20,18,30,24,4,0.5,0.1,leaf,agent-015;agent-004,1,2,True,,26.399441063404083,0.0,0.09599700570106506,8.601676672697067,8.497722446918488,11.852536350488663,3.0746012926101685,1.129012554883957,0.0,12,6,6,6,4,8,45,37,8,0,56,47,0,0,9,0.16071428571428573,0,32,59752,24,0,0.0,0.0,0.0,0.0,False,False,99.98564051154094,163.41796875,21177888.29939224,21177888.299398255,21177888.29951223,21177888.308009952,21177888.320618976,21177888.323095374,21177888.324529514,21177888.32579168,0.0
gateway_count:4:seed=29:method=full_rebuild,29,full_rebuild,gateway_count:4,45525b587f9a2237d28b274e01b5217a36e9eea23915f16b87608367807d5659,in_memory_transactional_simulation,20,18,30,24,4,0.5,0.1,leaf,agent-015;agent-004,1,2,True,,29.771670699119568,0.0,0.09309127926826477,3.5543404519557953,3.4537576138973236,20.330477505922318,3.1123757362365723,1.1303909122943878,0.0,32,30,30,30,4,45,45,37,8,0,56,47,25,22,34,1.4464285714285714,0,32,131364,24,0,0.0,0.0,0.0,0.0,False,False,99.98542096506807,163.67578125,21177888.35365098,21177888.353656773,21177888.35376696,21177888.357220717,21177888.37827964,21177888.38068148,21177888.382118236,21177888.38342265,0.0
gateway_count:4:seed=29:method=local_only,29,local_only,gateway_count:4,45525b587f9a2237d28b274e01b5217a36e9eea23915f16b87608367807d5659,in_memory_transactional_simulation,20,20,30,30,4,0.5,0.1,leaf,agent-015;agent-004,1,2,False,staged verification failed: residual_rules:gw-01:exp3-seed-0029:exp3-seed-0029-sess-4:gw-01:0 | session_set_mismatch:gw-01 | version_mismatch:gw-01:1!=2,0.0,20.44389396905899,0.09379535913467407,8.467983454465866,8.366744965314865,8.012332022190094,1.6611218452453613,0.0,0.9090378880500793,12,6,6,6,3,8,45,45,0,0,56,56,0,0,8,0.14285714285714285,1,24,37994,24,0,0.0,0.0,0.0,0.0,True,True,99.96742630042421,163.67578125,21177888.41135568,21177888.41136137,21177888.41147215,21177888.419838894,21177888.428610425,21177888.430577535,0.0,0.0,21177888.431799576
gateway_count:8:seed=0:method=proposed,0,proposed,gateway_count:8,ffa8f5311dcccc1fe999e5fde612e7380a79d722bc99804acf5ef146779d9c63,in_memory_transactional_simulation,20,18,30,27,8,0.6666666666666666,0.1,leaf,agent-015;agent-001,1,2,True,,35.788509994745255,0.0,0.10449811816215515,10.46762615442276,10.355733335018158,17.329581081867218,4.3547190725803375,1.6678869724273682,0.0,13,3,3,3,6,6,50,44,6,0,77,69,0,0,8,0.1038961038961039,0,64,87502,27,0,0.0,0.0,0.0,0.0,False,False,99.96557076873437,163.93359375,21177888.47181712,21177888.471822735,21177888.471943658,21177888.48229939,21177888.50051623,21177888.503831375,21177888.505866583,21177888.50760563,0.0
gateway_count:8:seed=0:method=full_rebuild,0,full_rebuild,gateway_count:8,ffa8f5311dcccc1fe999e5fde612e7380a79d722bc99804acf5ef146779d9c63,in_memory_transactional_simulation,20,18,30,27,8,0.6666666666666666,0.1,leaf,agent-015;agent-001,1,2,True,,44.754285365343094,0.0,0.10589137673377991,4.49877604842186,4.385676234960556,32.31160342693329,4.308514297008514,1.678120344877243,0.0,40,30,30,30,8,50,50,44,6,0,77,69,53,16,61,1.6883116883116882,0,64,210808,27,0,0.0,0.0,0.0,0.0,False,False,99.98147852648646,164.19140625,21177888.545409888,21177888.54541576,21177888.5455383,21177888.549923975,21177888.583106417,21177888.586429488,21177888.588471197,21177888.590164173,0.0
gateway_count:8:seed=0:method=local_only,0,local_only,gateway_count:8,ffa8f5311dcccc1fe999e5fde612e7380a79d722bc99804acf5ef146779d9c63,in_memory_transactional_simulation,20,20,30,30,8,0.6666666666666666,0.1,leaf,agent-015;agent-001,1,2,False,staged verification failed: version_mismatch:gw-00:1!=2 | residual_rules:gw-03:exp3-seed-0000:exp3-seed-0000-sess-1:gw-03:1 | session_set_mismatch:gw-03 | version_mismatch:gw-03:1!=2 | residual_rules:gw-04:exp3-seed-0000:exp3-seed-0000-sess-1:gw-04:0 | session_set_mismatch:gw-04 | version_mismatch:gw-04:1!=2 | version_mismatch:gw-05:1!=2,0.0,24.08331260085106,0.10682269930839539,10.513242334127426,10.399121791124344,8.581113070249557,2.6230588555336,0.0,0.7395297288894653,13,3,3,3,4,6,50,50,0,0,77,77,0,0,6,0.07792207792207792,2,32,40550,27,0,0.0,0.0,0.0,0.0,True,True,99.98165667269063,164.19140625,21177888.628157113,21177888.628162976,21177888.628286097,21177888.63868522,21177888.64815269,21177888.651135635,0.0,0.0,21177888.652240425
gateway_count:8:seed=1:method=proposed,1,proposed,gateway_count:8,4924003f0d5c3f7dd790dee2eb5bd7304e829473b5b9663148fdf71dc444d692,in_memory_transactional_simulation,20,18,30,27,8,0.6666666666666666,0.1,leaf,agent-007;agent-013,1,2,True,,43.457992374897,0.0,0.12269988656044006,12.283150106668472,12.152966111898422,22.15668559074402,4.66565415263176,1.8487349152565002,0.0,10,3,3,3,7,6,50,44,6,0,98,83,0,0,15,0.15306122448979592,0,64,112112,27,0,0.0,0.0,0.0,0.0,False,False,99.98390147704559,164.44921875,21177888.70027619,21177888.700282063,21177888.700422317,21177888.712575283,21177888.73583378,21177888.7395748,21177888.741894495,21177888.74373418,0.0
gateway_count:8:seed=1:method=full_rebuild,1,full_rebuild,gateway_count:8,4924003f0d5c3f7dd790dee2eb5bd7304e829473b5b9663148fdf71dc444d692,in_memory_transactional_simulation,20,18,30,27,8,0.6666666666666666,0.1,leaf,agent-007;agent-013,1,2,True,,49.18903857469559,0.0,0.1201145350933075,4.730306565761566,4.6026259660720825,35.49501672387123,4.653740674257278,1.8426589667797089,0.0,42,30,30,30,8,50,50,44,6,0,98,83,26,57,41,1.2653061224489797,0,64,223668,27,0,0.0,0.0,0.0,0.0,False,False,99.9755261747327,164.70703125,21177888.78889565,21177888.788901355,21177888.789038703,21177888.79364133,21177888.830221705,21177888.83394979,21177888.83625773,21177888.83808469,0.0
gateway_count:8:seed=1:method=local_only,1,local_only,gateway_count:8,4924003f0d5c3f7dd790dee2eb5bd7304e829473b5b9663148fdf71dc444d692,in_memory_transactional_simulation,20,20,30,30,8,0.6666666666666666,0.1,leaf,agent-007;agent-013,1,2,False,"staged verification failed: residual_rules:gw-04:exp3-seed-0001:exp3-seed-0001-sess-16:gw-04:0,exp3-seed-0001:exp3-seed-0001-sess-17:gw-04:0,exp3-seed-0001:exp3-seed-0001-sess-22:gw-04:2 | session_set_mismatch:gw-04 | version_mismatch:gw-04:1!=2 | residual_rules:gw-05:exp3-seed-0001:exp3-seed-0001-sess-22:gw-05:1 | session_set_mismatch:gw-05 | version_mismatch:gw-05:1!=2 | residual_rules:gw-06:exp3-seed-0001:exp3-seed-0001-sess-22:gw-06:0 | session_set_mismatch:gw-06 | version_mismatch:gw-06:1!=2 | version_mismatch:gw-07:1!=2",0.0,28.905954211950302,0.12165307998657227,11.957965791225433,11.828828603029251,11.164966970682144,2.4520903825759888,0.0,0.8470863103866577,10,3,3,3,4,6,50,50,0,0,98,98,0,0,10,0.10204081632653061,5,32,53393,27,0,0.0,0.0,0.0,0.0,True,True,99.98591337271965,164.70703125,21177888.88345101,21177888.883456625,21177888.883595426,21177888.895424254,21177888.907684207,21177888.911044076,0.0,0.0,21177888.912356965
