run_id,seed,task_id,result_mode,verification_backend,real_ping_verification,real_iperf3_verification,num_agents,num_edges,num_gateways,cross_gateway_edge_ratio,version,success,failure_reason,control_plane_latency_ms,legacy_controller_compute_ms,formation_latency_ms,formation_latency_s,mapping_latency_ms,binding_latency_ms,feasibility_latency_ms,cross_layer_coordination_latency_ms,compile_latency_ms,transaction_planning_latency_ms,compilation_and_planning_latency_ms,installation_latency_ms,activation_latency_ms,verification_latency_ms,verifier_runtime_ms,session_count,rule_count,control_messages,control_bytes,rollback_triggered,rollback_success,t_task_received,t_mapping_finished,t_layer_binding_finished,t_feasibility_finished,t_compile_finished,t_stage_started,t_stage_finished,t_staged_verify_finished,t_activate_finished,t_stable_verify_finished
agents=10:seed=24,24,exp3-seed-0024,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,10,15,4,0.8666666666666667,1,True,,2.328909933567047,2.1509267389774323,14.421127736568451,0.014421127736568451,0.19007176160812378,1.3377554714679718,0.13218075037002563,1.4699362218379974,0.49091875553131104,0.17798319458961487,0.6689019501209259,9.25758108496666,0.7001422345638275,2.1344944834709167,2.115577459335327,15,35,32,74303,False,False,21364345.020820737,21364345.02101081,21364345.022348564,21364345.022480745,21364345.022971664,21364345.023149647,21364345.032407228,21364345.03372285,21364345.034430057,21364345.035241865
agents=10:seed=25,25,exp3-seed-0025,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,10,15,4,0.8666666666666667,1,True,,2.3201219737529755,2.142481505870819,14.111381024122238,0.014111381024122238,0.20088627934455872,1.3325400650501251,0.13200566172599792,1.464545726776123,0.47704949975013733,0.17764046788215637,0.6546899676322937,8.974574506282806,0.6942823529243469,2.1224021911621094,2.10363045334816,15,34,32,72126,False,False,21364345.036080115,21364345.036281,21364345.03761354,21364345.037745547,21364345.038222596,21364345.038400237,21364345.04737481,21364345.048678856,21364345.04938012,21364345.050191496
agents=10:seed=26,26,exp3-seed-0026,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,10,15,4,0.8666666666666667,1,True,,2.3742876946926117,2.195321023464203,15.008322894573212,0.015008322894573212,0.2004280686378479,1.347418874502182,0.13402476906776428,1.4814436435699463,0.5134493112564087,0.1789666712284088,0.6924159824848175,9.73033532500267,0.7223039865493774,2.1813958883285522,2.1625496447086334,15,37,32,78532,False,False,21364345.051019143,21364345.05121957,21364345.05256699,21364345.052701015,21364345.053214464,21364345.05339343,21364345.063123766,21364345.06446739,21364345.065196916,21364345.066027466
agents=10:seed=27,27,exp3-seed-0027,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,10,15,4,0.8666666666666667,1,True,,2.3574940860271454,2.178814262151718,14.659658074378967,0.014659658074378967,0.1902468502521515,1.3485774397850037,0.13256818056106567,1.4811456203460693,0.5074217915534973,0.17867982387542725,0.6861016154289246,9.427763521671295,0.7209517061710358,2.153448760509491,2.134457230567932,15,36,32,76223,False,False,21364345.06685992,21364345.067050166,21364345.068398744,21364345.068531312,21364345.069038734,21364345.069217414,21364345.078645177,21364345.07996589,21364345.080693807,21364345.081519578
agents=10:seed=28,28,exp3-seed-0028,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,10,15,4,0.8666666666666667,1,True,,2.371266484260559,2.1911896765232086,15.209227800369263,0.015209227800369263,0.20606070756912231,1.3323575258255005,0.13850629329681396,1.4708638191223145,0.5142651498317719,0.18007680773735046,0.6943419575691223,9.942464530467987,0.7163956761360168,2.1791011095046997,2.160690724849701,15,38,32,80531,False,False,21364345.082350813,21364345.082556874,21364345.08388923,21364345.084027737,21364345.084542003,21364345.08472208,21364345.094664544,21364345.096005775,21364345.096729223,21364345.09756004
agents=10:seed=29,29,exp3-seed-0029,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,10,15,4,0.8666666666666667,1,True,,2.3823827505111694,2.2017918527126312,14.981411397457123,0.014981411397457123,0.21225586533546448,1.3479366898536682,0.1362152397632599,1.484151929616928,0.5053840577602386,0.1805908977985382,0.6859749555587769,9.697593748569489,0.7234886288642883,2.1779462695121765,2.158675342798233,15,37,32,78336,False,False,21364345.09839473,21364345.098606985,21364345.09995492,21364345.100091137,21364345.10059652,21364345.100777112,21364345.110474706,21364345.111813422,21364345.112544224,21364345.11337614
agents=20:seed=0,0,exp3-seed-0000,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,20,30,4,0.5,1,True,,4.078898578882217,3.8467980921268463,23.271717131137848,0.023271717131137848,0.38028135895729065,2.530127763748169,0.2611689269542694,2.7912966907024384,0.6752200424671173,0.2321004867553711,0.9073205292224884,14.424052089452744,0.9248591959476471,3.84390726685524,3.8241781294345856,30,57,32,117453,False,False,21364345.11452117,21364345.11490145,21364345.117431577,21364345.117692746,21364345.118367966,21364345.118600067,21364345.13302412,21364345.135241464,21364345.136173747,21364345.137792885
agents=20:seed=1,1,exp3-seed-0001,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,20,30,4,0.5,1,True,,3.9907582104206085,3.7638023495674133,22.03180640935898,0.02203180640935898,0.37849321961402893,2.5029256939888,0.2550743520259857,2.7580000460147858,0.6273090839385986,0.2269558608531952,0.8542649447917938,13.38224858045578,0.9062103927135468,3.752589225769043,3.733240067958832,30,53,32,108848,False,False,21364345.139007777,21364345.13938627,21364345.141889196,21364345.14214427,21364345.14277158,21364345.142998535,21364345.156380784,21364345.158545777,21364345.159459256,21364345.161039583
agents=20:seed=2,2,exp3-seed-0002,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,20,30,4,0.5,1,True,,4.065677523612976,3.8353167474269867,22.750824689865112,0.022750824689865112,0.3787316381931305,2.5416091084480286,0.2572201192378998,2.7988292276859283,0.6577558815479279,0.23036077618598938,0.8881166577339172,14.062274247407913,0.9163692593574524,3.7065036594867706,3.6869123578071594,30,56,32,115128,False,False,21364345.162242692,21364345.162621424,21364345.165163033,21364345.165420253,21364345.16607801,21364345.16630837,21364345.180370644,21364345.182517245,21364345.18344108,21364345.184993517
agents=20:seed=3,3,exp3-seed-0003,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,20,30,4,0.5,1,True,,4.0210336446762085,3.7900879979133606,21.916832774877548,0.021916832774877548,0.380050390958786,2.5195442140102386,0.2611428499221802,2.780687063932419,0.6293505430221558,0.2309456467628479,0.8602961897850037,13.369951397180557,0.8949190378189087,3.630928695201874,3.611534833908081,30,53,32,108953,False,False,21364345.18620187,21364345.18658192,21364345.189101465,21364345.189362608,21364345.18999196,21364345.190222904,21364345.203592855,21364345.20569765,21364345.20660001,21364345.208118703
