scenario,seed,comparison_method,scenario_fingerprint,proposed_minus_method_total_decision_latency_ms,proposed_minus_method_coordination_latency_ms,proposed_minus_method_qos_satisfied,proposed_minus_method_infeasible,proposed_minus_method_changed_rules,proposed_minus_method_control_bytes
application_capacity:pressure=0.6,18,independent,2018aabd587378cee14cc0ce43f4639d18a34258f2d83472fec20092bc0318f5,4.79869544506073,4.874709993600845,0,0,0,0
application_capacity:pressure=0.6,18,adjacent,2018aabd587378cee14cc0ce43f4639d18a34258f2d83472fec20092bc0318f5,4.642415791749954,4.691366106271744,0,0,0,0
application_capacity:pressure=0.6,18,no_verification,2018aabd587378cee14cc0ce43f4639d18a34258f2d83472fec20092bc0318f5,4.221394658088684,4.35556098818779,0,0,0,0
application_capacity:pressure=0.6,19,independent,d237ed61c1b0fe93406d46d654595a7ec99c06308df3f35e999b78c6426374a4,4.777554422616959,4.803411662578583,0,0,0,0
application_capacity:pressure=0.6,19,adjacent,d237ed61c1b0fe93406d46d654595a7ec99c06308df3f35e999b78c6426374a4,-13.564158231019974,4.621569067239761,0,0,0,0
application_capacity:pressure=0.6,19,no_verification,d237ed61c1b0fe93406d46d654595a7ec99c06308df3f35e999b78c6426374a4,4.245109856128693,4.285678267478943,0,0,0,0
application_capacity:pressure=0.6,20,independent,90c6cdcf75566ef59005e729a5a657ba5c2fcfcaf02ef0e57755ba46a8dcf9b8,4.749789834022522,4.803653806447983,0,0,0,0
application_capacity:pressure=0.6,20,adjacent,90c6cdcf75566ef59005e729a5a657ba5c2fcfcaf02ef0e57755ba46a8dcf9b8,4.565633833408356,4.620268940925598,0,0,0,0
application_capacity:pressure=0.6,20,no_verification,90c6cdcf75566ef59005e729a5a657ba5c2fcfcaf02ef0e57755ba46a8dcf9b8,4.275668412446976,4.285190254449844,0,0,0,0
application_capacity:pressure=0.6,21,independent,0bde4eddb4c5a3b37d9e331d0cabd1d58a8ec82baa63e8506ada114df927041c,4.987612366676331,4.795785993337631,0,0,0,0
application_capacity:pressure=0.6,21,adjacent,0bde4eddb4c5a3b37d9e331d0cabd1d58a8ec82baa63e8506ada114df927041c,4.8800744116306305,4.614498466253281,0,0,0,0
application_capacity:pressure=0.6,21,no_verification,0bde4eddb4c5a3b37d9e331d0cabd1d58a8ec82baa63e8506ada114df927041c,4.332754760980606,4.276778548955917,0,0,0,0
application_capacity:pressure=0.6,22,independent,b60e83e04f6989e057f28a995d6caacd7a54cb1c4cd13f938b9cfe4daddc4280,4.480298608541489,4.759330302476883,0,0,0,0
application_capacity:pressure=0.6,22,adjacent,b60e83e04f6989e057f28a995d6caacd7a54cb1c4cd13f938b9cfe4daddc4280,4.554301500320435,4.568841308355331,0,0,0,0
application_capacity:pressure=0.6,22,no_verification,b60e83e04f6989e057f28a995d6caacd7a54cb1c4cd13f938b9cfe4daddc4280,4.145294427871704,4.241719841957092,0,0,0,0
application_capacity:pressure=0.6,23,independent,3858e3b0b27fe51bf7ad109e77f252ebcb719a63cfed86751f9e18a07c0cabaf,5.0447918474674225,5.035683512687683,0,0,0,0
application_capacity:pressure=0.6,23,adjacent,3858e3b0b27fe51bf7ad109e77f252ebcb719a63cfed86751f9e18a07c0cabaf,4.8277415335178375,4.848640412092209,0,0,0,0
application_capacity:pressure=0.6,23,no_verification,3858e3b0b27fe51bf7ad109e77f252ebcb719a63cfed86751f9e18a07c0cabaf,4.4485218822956085,4.510417580604553,0,0,0,0
application_capacity:pressure=0.6,24,independent,76fb7ea4a07fb6296500cec5b686546a7a44c60af57a96e0d370bd3ceeed25d8,4.799306392669678,4.839841276407242,0,0,0,0
application_capacity:pressure=0.6,24,adjacent,76fb7ea4a07fb6296500cec5b686546a7a44c60af57a96e0d370bd3ceeed25d8,4.656463861465454,4.659596830606461,0,0,0,0
application_capacity:pressure=0.6,24,no_verification,76fb7ea4a07fb6296500cec5b686546a7a44c60af57a96e0d370bd3ceeed25d8,3.788057714700699,4.3107494711875916,0,0,0,0
application_capacity:pressure=0.6,25,independent,8389233003a0f7bdc67d8c8df50ebefc7ed037bf4a0c2bf72abff0ca809ad22f,4.936184734106064,4.8375204205513,0,0,0,0
application_capacity:pressure=0.6,25,adjacent,8389233003a0f7bdc67d8c8df50ebefc7ed037bf4a0c2bf72abff0ca809ad22f,4.998568445444107,4.653904587030411,0,0,0,0
