scenario,conflict_pressure,method,runs,qos_satisfaction_rate,infeasible_configuration_rate,conflict_detection_rate,conflict_resolution_rate,safe_rejection_rate,rollback_rate,coordination_latency_ms_mean,coordination_latency_ms_ci95,transaction_latency_ms_mean,transaction_latency_ms_ci95
network_physical,0.3,independent,30,0.0,1.0,0.0,0.0,0.0,1.0,0.0353444367647171,0.0004515073673175857,15.391384934385618,0.20299231029719764
network_physical,0.3,no_verification,30,0.0,1.0,0.0,0.0,0.0,1.0,0.555512805779775,0.0018507441712686263,15.401444832483927,0.20795619732904166
network_physical,0.3,proposed,30,1.0,0.0,1.0,1.0,0.0,0.0,4.872255772352219,0.010090732619412748,11.832190801699957,0.15435390154575543
network_physical,0.4,adjacent,30,1.0,0.0,1.0,1.0,0.0,0.0,0.6913173943758011,0.0038585854418098434,11.936321357885996,0.15869169644104036
network_physical,0.4,independent,30,0.0,1.0,0.0,0.0,0.0,1.0,0.03537448743979136,0.0004399516374133156,15.391027803222338,0.20941031109989638
network_physical,0.4,no_verification,30,0.0,1.0,0.0,0.0,0.0,1.0,0.5554656187693278,0.0015103145747446208,20.518239835898083,10.047176342554263
network_physical,0.4,proposed,30,1.0,0.0,1.0,1.0,0.0,0.0,4.906019816795985,0.022511650413868566,11.83369110027949,0.15821954483804454
network_physical,0.5,adjacent,30,1.0,0.0,1.0,1.0,0.0,0.0,0.6937552243471146,0.00334231862468221,18.65859453876813,13.17625248573523
network_physical,0.5,independent,30,0.0,1.0,0.0,0.0,0.0,1.0,0.035476560393969216,0.0017360287520439086,15.400130053361258,0.2104860105848914
network_physical,0.5,no_verification,30,0.0,1.0,0.0,0.0,0.0,1.0,0.5569847921530405,0.002845670499806363,15.422491108377775,0.20972908108891783
network_physical,0.5,proposed,30,1.0,0.0,1.0,1.0,0.0,0.0,4.871244976917903,0.017198747498081358,11.833459263046583,0.1564082146180275
transport_network,0.4,adjacent,30,1.0,0.0,0.0,0.0,0.0,0.0,0.21371282637119293,0.0010403172953166923,11.888466899593672,0.1625399820944659
transport_network,0.4,independent,30,1.0,0.0,0.0,0.0,0.0,0.0,0.035239135225613914,0.0003429096634038576,11.90626323223114,0.16658672070827543
transport_network,0.4,no_verification,30,1.0,0.0,0.0,0.0,0.0,0.0,0.555095449090004,0.0013458681323431027,11.895221595962843,0.16103660388879226
transport_network,0.4,proposed,30,1.0,0.0,0.0,0.0,0.0,0.0,4.856814568241437,0.02514375697581004,11.83554083108902,0.15827167588101168
transport_network,0.6,adjacent,30,1.0,0.0,0.0,0.0,0.0,0.0,0.21282037099202475,0.0009372129022946455,11.870236198107401,0.1576573617494158
transport_network,0.6,independent,30,1.0,0.0,0.0,0.0,0.0,0.0,0.03492012619972229,0.0003001273698442321,11.88830758134524,0.1574355520747735
transport_network,0.6,no_verification,30,1.0,0.0,0.0,0.0,0.0,0.0,0.5536090582609177,0.0016179207895139099,11.895726745327314,0.1531281418772665
transport_network,0.6,proposed,30,1.0,0.0,0.0,0.0,0.0,0.0,7.158137857913971,4.521365097384271,11.82027185956637,0.14827518838268183
transport_network,0.75,adjacent,30,1.0,0.0,0.0,0.0,0.0,0.0,0.21391150852044424,0.0014227971769475726,11.882291982571283,0.16491246947442978
transport_network,0.75,independent,30,1.0,0.0,0.0,0.0,0.0,0.0,0.03554274638493856,0.0008882918605346781,11.897681405146917,0.16191097802686485
transport_network,0.75,no_verification,30,1.0,0.0,0.0,0.0,0.0,0.0,0.5570122351249059,0.00269353507399192,11.883657053112984,0.15521921372898506
transport_network,0.75,proposed,30,1.0,0.0,0.0,0.0,0.0,0.0,4.863189409176509,0.02639852360993888,11.814177532990774,0.15064683821191613
transport_network,0.85,adjacent,30,1.0,0.0,1.0,1.0,0.0,0.0,0.693845252195994,0.002603366200707588,11.914064610997835,0.15870833420725697
transport_network,0.85,independent,30,0.0,1.0,0.0,0.0,0.0,1.0,0.03501127163569132,0.00021047642019302607,15.411214902997017,0.2062352175331096
transport_network,0.85,no_verification,30,0.0,1.0,0.0,0.0,0.0,1.0,0.5539809664090475,0.0013956275339100114,15.414664894342422,0.21592383289527387
transport_network,0.85,proposed,30,1.0,0.0,1.0,1.0,0.0,0.0,4.914216821392377,0.02818214887661827,11.82671089967092,0.15328331127194772
transport_network,0.95,adjacent,30,1.0,0.0,1.0,1.0,0.0,0.0,0.6913337856531143,0.00329738506258251,11.94657968978087,0.16761124221452595
transport_network,0.95,independent,30,0.0,1.0,0.0,0.0,0.0,1.0,0.035141160090764366,0.0003269580141729851,15.388536329070726,0.2106287278154547
transport_network,0.95,no_verification,30,0.0,1.0,0.0,0.0,0.0,1.0,0.555184856057167,0.0014018756365009276,15.402451778451601,0.20914174751883932
transport_network,0.95,proposed,30,1.0,0.0,1.0,1.0,0.0,0.0,4.861980179945628,0.008482125345744483,11.82484763363997,0.15333478847660187
transport_network,0.99,adjacent,30,1.0,0.0,1.0,1.0,0.0,0.0,0.6904390950997671,0.002300558472918391,11.91521721581618,0.15954165267016013
transport_network,0.99,independent,30,0.0,1.0,0.0,0.0,0.0,1.0,0.03552126387755076,0.0005313834239228138,15.375627453128496,0.20531112049907901
transport_network,0.99,no_verification,30,0.0,1.0,0.0,0.0,0.0,1.0,0.5560057858626047,0.001375997832010709,15.391593302289644,0.2059368146950665
transport_network,0.99,proposed,30,1.0,0.0,1.0,1.0,0.0,0.0,4.867249106367429,0.01291193458997141,11.838103830814362,0.15724523802149332
