experiment,scenario,factor,method,runs,conflict_class,qos_satisfaction_rate,infeasible_configuration_rate,false_alarm_rate,miss_rate,conflict_detection_rate,conflict_resolution_rate,safe_rejection_rate,unresolvable_safe_rejection_rate,unsafe_execution_rate,decision_rejection_rate,rollback_rate,safe_rollback_rate,timeout_rate,no_partial_commit_rate,coordination_latency_ms_mean,coordination_latency_ms_ci95,feasibility_latency_ms_mean,feasibility_latency_ms_ci95,transaction_latency_ms_mean,transaction_latency_ms_ci95,total_latency_ms_mean,total_latency_ms_ci95,peak_memory_mb_mean,peak_memory_mb_ci95,num_raw_combinations_mean,num_raw_combinations_ci95,num_pruned_combinations_mean,num_pruned_combinations_ci95,num_feasible_combinations_mean,num_feasible_combinations_ci95
proposal_scale,proposal_scale,3,proposed,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.144599025448164,0.02248823784330207,12.963297714789709,0.022332102553947655,0.0,0.0,13.299350067973137,0.02276389746060309,0.04599761962890625,5.446029813670819e-05,81.0,0.0,0.0,0.0,4.0,0.0
proposal_scale,proposal_scale,4,adjacent,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.112576653560003,0.005481276889659561,2.994330103198687,0.005222478848372691,0.0,0.0,3.2606863727172217,0.0058438356395983364,0.015011978149414063,6.271487354075526e-05,256.0,0.0,256.0,0.0,0.0,0.0
proposal_scale,proposal_scale,4,proposed,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.38877963026365,0.07588275910770088,41.11375647286574,0.07567170991160756,0.0,0.0,41.57769965628783,0.07687849244769818,0.11001402537027995,0.0007958491911366087,256.0,0.0,0.0,0.0,18.0,0.0
proposal_scale,proposal_scale,5,adjacent,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.506065448125203,0.010375681230967748,4.3751342842976255,0.009815346859362833,0.0,0.0,4.655661558111508,0.010827908919332751,0.01525739034016927,0.00013576129633829286,625.0,0.0,625.0,0.0,0.0,0.0
proposal_scale,proposal_scale,5,proposed,30,RESOLVABLE_CONFLICT,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.92547225455444,0.140842153498643,100.45720438162486,0.13888588904527693,0.0,0.0,101.22567377984524,0.14192797958268955,0.23841721216837566,5.48293550406897e-05,625.0,0.0,0.0,0.0,48.0,0.0
stale,stale_state,0,adjacent,30,NO_CONFLICT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.588612382610639,0.0013639096463464954,0.4840878148873647,0.0012567816125213574,11.869336540500322,0.16032385850098174,100.42785157759984,0.2752771461875418,0.00577545166015625,0.0,81.0,0.0,81.0,0.0,0.0,0.0
stale,stale_state,0,independent,30,NO_CONFLICT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09318614999453227,0.00033874072896848825,0.0,0.0,11.861229812105497,0.17325568928760537,99.9812542150418,0.30563270704336926,0.002105712890625,0.0,81.0,0.0,81.0,0.0,0.0,0.0
stale,stale_state,0,no_verification,30,NO_CONFLICT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5570503969987233,0.0044286063834363554,0.0,0.0,11.89747949441274,0.16775753221431236,101.44374879697959,0.2908672365236586,0.01172637939453125,0.0,81.0,0.0,0.0,0.0,0.0,0.0
stale,stale_state,0,proposed,30,NO_CONFLICT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.320054113864899,0.02652130770838911,13.137877608338991,0.026105806490793998,11.854835599660873,0.15811035910306345,113.18501892189185,0.2912027343678775,0.05927705764770508,0.001263159045217592,81.0,0.0,0.0,0.0,9.3,0.5410696940257358
stale,stale_state,100,adjacent,30,UNRESOLVABLE_CONFLICT,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.6310413281122843,0.0017986392260606,0.5261123180389404,0.0014630016326502735,15.371525287628174,0.21440484595859696,111.11535045007865,0.3350887250739561,0.006188392639160156,0.0,81.0,0.0,81.0,0.0,0.0,0.0
stale,stale_state,100,independent,30,UNRESOLVABLE_CONFLICT,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.09319745004177094,0.0004080540090968138,0.0,0.0,15.385175744692484,0.21251588360635107,110.55865436792374,0.322510111596232,0.002105712890625,0.0,81.0,0.0,81.0,0.0,0.0,0.0
stale,stale_state,100,no_verification,30,UNRESOLVABLE_CONFLICT,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.5555535753568013,0.005842503947317318,0.0,0.0,15.430257841944695,0.21401821241898392,115.74148163199425,7.225908790625243,0.011802419026692709,0.00011925552166114601,81.0,0.0,0.0,0.0,0.0,0.0
stale,stale_state,100,proposed,30,UNRESOLVABLE_CONFLICT,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,14.040891701976458,0.026704936377955596,13.84806769589583,0.026536180839018417,0.0,0.0,14.178043107191721,0.02729425393349967,0.07884902954101562,0.0004891966181155834,81.0,0.0,0.0,0.0,0.0,0.0
stale,stale_state,20,adjacent,30,UNRESOLVABLE_CONFLICT,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.632205605506897,0.0017101531687740837,0.526967520515124,0.001533857997518824,15.375023086865744,0.21523293894814186,111.028266325593,0.32663593929997126,0.006188392639160156,0.0,81.0,0.0,81.0,0.0,0.0,0.0
stale,stale_state,20,independent,30,UNRESOLVABLE_CONFLICT,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.09528485437234242,0.003502332462112245,0.0,0.0,15.382720902562141,0.21375673401890252,110.69084306557973,0.3454415078449361,0.002105712890625,0.0,81.0,0.0,81.0,0.0,0.0,0.0
stale,stale_state,20,no_verification,30,UNRESOLVABLE_CONFLICT,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.55685693025589,0.004316635146839734,0.0,0.0,15.424141411979994,0.2088354194552247,112.15006162722905,0.3400816318177749,0.011819203694661459,0.00013129787179120935,81.0,0.0,0.0,0.0,0.0,0.0
stale,stale_state,20,proposed,30,UNRESOLVABLE_CONFLICT,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,14.021884153286615,0.0235645084540931,13.827819128831228,0.023168837046938708,0.0,0.0,14.159851769606272,0.023778935196473474,0.07884902954101562,0.00047051175032532624,81.0,0.0,0.0,0.0,0.0,0.0
stale,stale_state,200,adjacent,30,UNRESOLVABLE_CONFLICT,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.6316485504309336,0.001910175529881107,0.5265745023886362,0.001635612932330631,15.38130429883798,0.20499064876535444,111.14797219634056,0.3401898214670174,0.006188392639160156,0.0,81.0,0.0,81.0,0.0,0.0,0.0
stale,stale_state,200,independent,30,UNRESOLVABLE_CONFLICT,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.09418316185474396,0.0015584076704749014,0.0,0.0,15.384147937099138,0.20678814233781243,110.67642507453759,0.3785150073693787,0.0021105448404947916,9.470621744791667e-06,81.0,0.0,81.0,0.0,0.0,0.0
stale,stale_state,200,no_verification,30,UNRESOLVABLE_CONFLICT,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.5559787551561992,0.003717119000103171,0.0,0.0,15.4113898674647,0.2060716786245074,112.14390931030114,0.34222349409043035,0.01183624267578125,0.00015005362929510288,81.0,0.0,0.0,0.0,0.0,0.0
stale,stale_state,200,proposed,30,UNRESOLVABLE_CONFLICT,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,14.021993180116018,0.02966149596185358,13.82873902718226,0.02942346778423027,0.0,0.0,14.157788952191671,0.029879286995362245,0.07867507934570313,0.00037974107285226,81.0,0.0,0.0,0.0,0.0,0.0
stale,stale_state,50,adjacent,30,UNRESOLVABLE_CONFLICT,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.6330625464518865,0.0028548473979268588,0.5278825759887695,0.0023236675626410936,15.375255793333054,0.2172194355918387,111.02891912062962,0.3245015790402016,0.006188392639160156,0.0,81.0,0.0,81.0,0.0,0.0,0.0
stale,stale_state,50,independent,30,UNRESOLVABLE_CONFLICT,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.09251261750857036,0.00033735227515727643,0.0,0.0,15.376601244012514,0.20485255452186543,114.69830547769864,8.197677712807875,0.002105712890625,0.0,81.0,0.0,81.0,0.0,0.0,0.0
stale,stale_state,50,no_verification,30,UNRESOLVABLE_CONFLICT,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.5550126632054646,0.004110248483438584,0.0,0.0,15.413435424367586,0.20841161921008566,112.11236367623012,0.31202088197382316,0.011844380696614584,0.0001606970446453262,81.0,0.0,0.0,0.0,0.0,0.0
stale,stale_state,50,proposed,30,UNRESOLVABLE_CONFLICT,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,14.04653104643027,0.0343501087922361,13.853053748607635,0.034285450677135745,0.0,0.0,14.182875057061514,0.03435176134888529,0.07867507934570313,0.00036989121080441853,81.0,0.0,0.0,0.0,0.0,0.0
unresolvable,all_routes_latency,all_routes_latency,adjacent,30,UNRESOLVABLE_CONFLICT,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.511933982372284,0.006537137715209544,3.40116855998834,0.005652371034763365,15.78816125790278,0.8013198701078829,117.09488555788994,0.8472781467499625,0.017173035939534505,0.0006309694682450172,81.0,0.0,81.0,0.0,0.0,0.0
