panel,bootstrap_iterations,ci_lower,ci_upper,cluster_count,denominator,experiment,mean,method_id,method_label,metric,mode,numerator,p50,p95,sample_count,series,x_name,x_value
a,5000,13.13199548124839,13.751522837403341,28,,exp3,13.417400149273373,netren,NetRen*,reconfiguration_latency_ms,paper,,13.407295466875,15.022957716666667,82,affected_agents,affected_agent_count,9.0
a,5000,13.41205188893691,13.908611152362608,22,,exp3,13.679146637718256,netren,NetRen*,reconfiguration_latency_ms,paper,,13.7014133,14.7725120025,63,affected_agents,affected_agent_count,10.0
a,5000,13.597752878115655,14.259510554154632,15,,exp3,13.925172588931623,netren,NetRen*,reconfiguration_latency_ms,paper,,13.74722832,15.012407716666667,39,affected_agents,affected_agent_count,11.0
a,5000,13.574592271498307,14.159005743836957,23,,exp3,13.863408005163691,netren,NetRen*,reconfiguration_latency_ms,paper,,13.852674597500002,14.937460618750002,56,affected_agents,affected_agent_count,12.0
a,5000,13.614468629073569,14.189985055538276,28,,exp3,13.901776876519612,netren,NetRen*,reconfiguration_latency_ms,paper,,14.008228320000002,14.973891078333335,85,affected_agents,affected_agent_count,13.0
a,5000,13.925898929924404,14.445502752413802,24,,exp3,14.20393561558712,netren,NetRen*,reconfiguration_latency_ms,paper,,14.132650455,15.244253433333334,88,affected_agents,affected_agent_count,14.0
a,5000,13.755176227990326,14.477204322992689,15,,exp3,14.08720855388889,netren,NetRen*,reconfiguration_latency_ms,paper,,14.058859212500002,15.171450625000002,27,affected_agents,affected_agent_count,15.0
a,5000,8.059380120928054,8.235294149011407,22,,exp3,8.15194245048611,proposed,Proposed,reconfiguration_latency_ms,paper,,8.170224025,8.574928703333333,42,affected_agents,affected_agent_count,3.0
a,5000,8.273162222709203,8.50912603955012,21,,exp3,8.397205528424799,proposed,Proposed,reconfiguration_latency_ms,paper,,8.441180433333333,8.802360125000002,41,affected_agents,affected_agent_count,4.0
a,5000,8.373068722987453,8.655056633984987,27,,exp3,8.513675092458334,proposed,Proposed,reconfiguration_latency_ms,paper,,8.438214787500002,9.330672741666667,50,affected_agents,affected_agent_count,5.0
a,5000,8.893519223036458,9.120272144222822,23,,exp3,9.011044459765152,proposed,Proposed,reconfiguration_latency_ms,paper,,9.013617312500001,9.510818833333333,55,affected_agents,affected_agent_count,6.0
a,5000,8.914008861006655,9.174980997549035,21,,exp3,9.050684796073718,proposed,Proposed,reconfiguration_latency_ms,paper,,9.016957147916667,9.73818108375,52,affected_agents,affected_agent_count,7.0
